"categ_prodotto";"cod_articolo";"cod_iva";"conto_acq";"conto_ven";"descrizione";"f1";"f2";"fattore_convers";"gruppo_fiscale";"mastro_acq";"mastro_ven";"prezzo_acquisto";"provvigione";"um_carico";"tempo_riordino";"um_scarico"
"D3A1";"109A";"4";"0";"1";"PRODOTTO 1";"";"";"0";"";"";"58";"0,75";"0";"NR.";"12";"NR."
"K2";"110";"10";"0";"1";"PRODOTTO 2";"";"";"0";"";"";"58";"6,01";"0";"NR.";"4";"NR"
"D3A1";"1102";"10";"0";"1";"PRODOTTO 3";"";"";"0";"";"";"58";"0,0";"0";"NR.";"0";"NR."
"D3A1";"1102A";"10";"0";"1";"PRODOTTO 4";"";"";"0";"";"";"58";"0,0";"0";"NR.";"0";"NR."
"D3A1";"111";"10";"0";"1";"PRODOTTO 5";"";"";"0";"";"";"58";"6,32";"0";"NR.";"4";"NR"
"D3A1";"112";"10";"0";"1";"PRODOTTO 6";"";"";"0";"";"";"58";"6,55";"0";"NR.";"4";"NR"
"D3A1";"113";"10";"2";"2";"PRODOTTO 7";"";"";"0";"";"66";"58";"6,52";"0";"NR.";"4";"NR"
"D3A1";"114";"10";"0";"1";"PRODOTTO 8";"";"";"0";"";"";"58";"6,62";"0";"NR.";"4";"NR"
"D3A1";"115";"10";"0";"1";"PRODOTTO 9";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"D3A1";"116";"10";"0";"1";"PRODOTTO 10";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"117";"10";"0";"1";"PRODOTTO 11";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"118";"10";"0";"1";"PRODOTTO 12";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"121";"10";"0";"1";"PRODOTTO 13";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"123";"10";"0";"1";"PRODOTTO 14";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"124";"10";"0";"1";"PRODOTTO 15";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"125";"10";"0";"1";"PRODOTTO 16";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"126";"10";"0";"1";"PRODOTTO 17";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"127";"10";"0";"1";"PRODOTTO 18";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"K2";"128";"10";"0";"1";"PRODOTTO 19";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"D3B2";"129";"10";"0";"1";"PRODOTTO 20";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"D3B2";"12A";"4";"0";"1";"PRODOTTO 21";"";"";"0";"";"";"58";"0,0";"0";"NR.";"12";"NR."
"D3B2";"130";"10";"0";"1";"PRODOTTO 22";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"D3B2";"131";"10";"0";"1";"PRODOTTO 23";"";"";"0";"";"";"58";"0,0";"0";"NR.";"4";"NR."
"D3B2";"138";"10";"0";"1";"PRODOTTO 24";"";"";"0";"";"";"58";"0,0";"0";"NR.";"6";"NR."
"D3B2";"139";"10";"0";"1";"PRODOTTO 25";"";"";"0";"";"";"58";"0,0";"0";"NR.";"12";"NR."
"D3B2";"139F";"10";"0";"1";"PRODOTTO 26";"";"";"0";"";"";"58";"0,0";"0";"NR.";"6";"NR."
"D3B2";"139G";"10";"0";"1";"PRODOTTO 27";"";"";"0";"";"";"58";"0,0";"0";"NR.";"16";"NR."
