"cap";"categoria";"clifor";"cod_agente";"conto";"es_iva";"listino";"localita";"mastro";"natura";"pagamento";"pr";"rag_sociale1";"sconto";"spese";"tipo_fatturaz";"zona"
"";"";"C";"0";"120";"0";"";"DUBLIN 24 IRELAND";"14";"4";"R.D";"";"ADOBE SYSTEMS SOFTWERE IERLAND";"0";"0";"1";"22"
"";"";"C";"0";"122";"0";"";"BUCAREST-ROMANIA";"14";"4";"R.D";"";"CLIENTE 40";"0";"0";"1";""
"";"";"C";"0";"135";"0";"";"CO KILDARE -IRLANDA";"14";"4";"R.D";"";"KERRY INGREDIENTS & FLAVOURS";"0";"0";"2";"22"
"";"";"C";"0";"140";"0";"";"DE-83123 AMERANG";"14";"4";"R.D";"";"AUER PACKAGING GMBH";"0";"0";"1";"24"
"";"";"C";"0";"141";"0";"";"DUBLIN 18 D18 521 IRELAND";"14";"4";"";"IE";"MICROSOFT IRELAND OPERATIONS";"0";"0";"1";""
"";"";"C";"0";"145";"0";"";"90292 MARINA DEL REY CA";"14";"3";"R.D";"USA";"CLIENTE 41";"0";"0";"1";""
"";"";"C";"0";"164";"0";"";"LOS ANGELES CA 90034";"14";"3";"R.D";"USA";"PADOVANI LLC";"0";"0";"1";"26"
"";"";"C";"0";"64";"23";"";"SWITZERLAND";"14";"3";"R.D";"CH";"PASTINELLA ORIOR MENU AG.";"0";"0";"2";"28"
"";"";"C";"0";"95";"0";"";"DUBLIN 18 IRELAND";"14";"4";"R.D";"IE";"GETTY IMAGES INTERNATIONAL";"0";"0";"1";""
"";"";"F";"0";"27";"0";"";"";"40";"7";"";"";"FORNITORI VARI";"0";"1";"N";""
"";"";"F";"0";"345";"0";"";"Carrickmines-Dublin 18";"40";"4";"R.D";"IE";"GETTY IMAGES INTERNATIONAL";"0";"1";"N";""
"";"";"F";"0";"374";"0";"";"D-70188 STUTTGART";"40";"4";"R.D";"DE";"DI GENNARO FEINKOST UND";"0";"1";"N";""
"";"";"F";"0";"439";"0";"";"DUBLIN 24 IRELANS";"40";"4";"R.D";"IE";"ADOBE SYSTEMS SOFTWERE IRELAND";"0";"1";"N";""
"";"";"F";"0";"443";"0";"";"BUCAREST-ROMANIA";"40";"4";"RD3";"";"MARCELA RISTEA";"0";"1";"N";""
"";"";"F";"0";"494";"0";"";"";"40";"1";"";"";"OGNI GIORNO PER EMMA ONLUS";"0";"1";"N";""
"";"";"F";"0";"498";"0";"";"CO KILDARE-IRLANDA";"40";"4";"RD6";"";"KERRY INGREDIENTS & FLAVOURS";"0";"1";"N";""
"";"";"F";"0";"515";"0";"";"DE-83123 AMERANG";"40";"4";"R.D";"DE";"AUER PACKAGING GMBH";"0";"1";"N";""
"";"";"F";"0";"516";"0";"";"DUBLIN 18 D18 P521IRELAND";"40";"4";"R.D";"IE";"MICROSOFT IRELAND OPERATIONS";"0";"1";"N";""
