"codice";"tipo_componente";"componente";"um";"consumo";"costo_unitario";"data_movimento"
"01";"0";"SALEV";"KG.";"0,001";"0,18";"2020-01-31"
"01";"0";"ETGAR";"NR.";"1,0";"0,0";"2020-01-31"
"01";"0";"ETGAF";"NR.";"1,0";"0,0";"2020-01-31"
"01";"0";"CARTVAL";"NR.";"0,125";"0,3";"2020-01-31"
"01";"0";"FILMSA";"KG.";"0,0012";"7,06";"2020-01-31"
"01";"0";"FARV";"KG.";"0,175";"0,9";"2020-01-31"
"02";"0";"FARV";"KG.";"0,175";"0,9";"2020-01-31"
"02";"0";"FILMSA";"KG.";"0,0012";"7,06";"2020-01-31"
"02";"0";"CARTVAL";"NR.";"0,125";"0,3";"2020-01-31"
"02";"0";"ETGAF";"NR.";"1,0";"0,0";"2020-01-31"
"02";"0";"ETGAR";"NR.";"1,0";"0,0";"2020-01-31"
"02";"0";"SALEV";"KG.";"0,001";"0,18";"2020-01-31"
"02";"0";"UOVOA";"KG";"0,05";"1,75";"2020-01-31"
"06";"0";"UOVOA";"KG";"0,05";"1,75";"2020-01-31"
"06";"0";"SALEV";"KG.";"0,001";"0,18";"2020-01-31"
"06";"0";"ETGAR";"NR.";"1,0";"0,0";"2020-01-31"
"06";"0";"ETGAF";"NR.";"1,0";"0,0";"2020-01-31"
"06";"0";"CARTVAL";"NR.";"0,125";"0,3";"2020-01-31"
"06";"0";"FILMSA";"KG.";"0,0012";"7,06";"2020-01-31"
"06";"0";"FARV";"KG.";"0,175";"0,9";"2020-01-31"
"109";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"109";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"109";"0";"FILMS";"KG.";"0,011";"5,76";"2020-01-31"
"109";"0";"SALEV";"KG.";"0,005";"0,18";"2020-01-31"
"109";"0";"FARTS";"KG";"0,143";"0,43";"2020-01-31"
"109";"0";"SEMT";"KG";"0,238";"0,73";"2020-01-31"
"109";"0";"CARTV";"NR.";"0,125";"0,3";"2020-01-31"
"119";"0";"CREMAT";"KG.";"0,08";"19,0";"2020-01-31"
"119";"0";"RISO";"KG.";"0,011";"1,77";"2020-01-31"
"119";"0";"FIBRE";"KG.";"0,024";"4,7";"2020-01-31"
"119";"0";"SALEV";"KG.";"0,006";"0,18";"2020-01-31"
"119";"0";"NOCE";"KG.";"0,001";"15,86";"2020-01-31"
"119";"0";"SEMT";"KG";"0,2";"0,73";"2020-01-31"
"119";"0";"FARTS";"KG";"0,15";"0,43";"2020-01-31"
"119";"0";"UOVOA";"KG";"0,1";"1,75";"2020-01-31"
"119";"0";"SALEV";"KG.";"0,003";"0,18";"2020-01-31"
"119";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"119";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"119";"0";"FILMSN";"KG.";"0,002";"5,16";"2020-01-31"
"119";"0";"FILMNN";"KG.";"0,054";"2,96";"2020-01-31"
"119";"0";"CART";"NR.";"0,25";"0,33";"2020-01-31"
"119";"0";"RICP";"KG.";"0,38";"1,7";"2020-01-31"
"120";"0";"BAS";"KG.";"0,011";"4,22";"2020-01-31"
"120";"0";"FIBRE";"KG.";"0,01";"4,7";"2020-01-31"
"120";"0";"SALEV";"KG.";"0,005";"0,18";"2020-01-31"
"120";"0";"SEMT";"KG";"0,2";"0,73";"2020-01-31"
"120";"0";"FARTS";"KG";"0,15";"0,43";"2020-01-31"
"120";"0";"UOVOA";"KG";"0,1";"1,75";"2020-01-31"
"120";"0";"SALEV";"KG.";"0,003";"0,18";"2020-01-31"
"120";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"120";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"120";"0";"FILMSN";"KG.";"0,002";"5,16";"2020-01-31"
"120";"0";"FILMNN";"KG.";"0,054";"2,96";"2020-01-31"
"120";"0";"RICP";"KG.";"0,204";"1,7";"2020-01-31"
"120";"0";"MOZZ";"KG.";"0,12";"4,45";"2020-01-31"
"120";"0";"BURTA";"KG.";"0,065";"8,09";"2020-01-31"
"120";"0";"CARTV";"NR.";"0,25";"0,3";"2020-01-31"
"120";"0";"POMS";"KG.";"0,065";"3,2";"2020-01-31"
"120";"0";"RISO";"KG.";"0,02";"1,77";"2020-01-31"
"133";"0";"CART";"NR.";"0,25";"0,33";"2020-01-31"
"133";"0";"SEMT";"KG";"0,475";"0,73";"2020-01-31"
"133";"0";"FARTS";"KG";"0,285";"0,43";"2020-01-31"
"133";"0";"SALEV";"KG.";"0,01";"0,18";"2020-01-31"
"133";"0";"FILMS";"KG.";"0,014";"5,76";"2020-01-31"
"133";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"133";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"134";"0";"CART";"NR.";"0,25";"0,33";"2020-01-31"
"134";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"134";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"134";"0";"FILMSA";"KG.";"0,014";"7,06";"2020-01-31"
"134";"0";"SALEV";"KG.";"0,005";"0,18";"2020-01-31"
"134";"0";"UOVOA";"KG";"0,2";"1,75";"2020-01-31"
"134";"0";"FARTS";"KG";"0,3";"0,43";"2020-01-31"
"134";"0";"SEMT";"KG";"0,1";"0,73";"2020-01-31"
"137";"0";"RICP";"KG.";"0,53";"1,7";"2020-01-31"
"137";"0";"SPINST";"KG.";"0,255";"1,1";"2020-01-31"
"137";"0";"PANE";"KG.";"0,133";"0,76";"2020-01-31"
"137";"0";"PARM";"KG";"0,085";"11,8";"2020-01-31"
"137";"0";"SALEV";"KG.";"0,016";"0,18";"2020-01-31"
"137";"0";"NOCE";"KG.";"0,002";"15,86";"2020-01-31"
"137";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"137";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"137";"0";"FILMSN";"KG.";"0,002";"5,16";"2020-01-31"
"137";"0";"FILMNN";"KG.";"0,054";"2,96";"2020-01-31"
"137";"0";"CART";"NR.";"0,25";"0,33";"2020-01-31"
"141";"0";"RICP";"KG.";"0,24";"1,7";"2020-01-31"
"141";"0";"FUNGHI";"KG.";"0,147";"7,5";"2020-01-31"
"141";"0";"OLIOE";"KG.";"0,048";"6,0";"2020-01-31"
"141";"0";"RISO";"KG.";"0,025";"1,77";"2020-01-31"
"141";"0";"UOVOA";"KG";"0,1";"1,75";"2020-01-31"
"141";"0";"SALEV";"KG.";"0,003";"0,18";"2020-01-31"
"141";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"141";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"141";"0";"FILMSN";"KG.";"0,002";"5,16";"2020-01-31"
"141";"0";"FILMNN";"KG.";"0,054";"2,96";"2020-01-31"
"141";"0";"CARTV";"NR.";"0,25";"0,3";"2020-01-31"
"141";"0";"FUNGHIS";"KG.";"0,005";"47,0";"2020-01-31"
"141";"0";"FIBRE";"KG.";"0,01";"4,7";"2020-01-31"
"141";"0";"SALEV";"KG.";"0,005";"0,18";"2020-01-31"
"141";"0";"BUR";"KG.";"0,005";"4,0";"2020-01-31"
"141";"0";"PREZZ";"KG.";"0,001";"2,47";"2020-01-31"
"141";"0";"AGLIO";"KG.";"0,001";"5,34";"2020-01-31"
"141";"0";"NOCE";"KG.";"0,0004";"15,86";"2020-01-31"
"141";"0";"SEMT";"KG";"0,2";"0,73";"2020-01-31"
"141";"0";"FARTS";"KG";"0,15";"0,43";"2020-01-31"
"142";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"142";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"142";"0";"MORTG";"KG.";"0,07";"3,7";"2020-01-31"
"142";"0";"PARM";"KG";"0,06";"11,8";"2020-01-31"
"142";"0";"PANE";"KG.";"0,06";"0,76";"2020-01-31"
"142";"0";"PROSD";"KG.";"0,023";"7,5";"2020-01-31"
"142";"0";"SALEV";"KG.";"0,007";"0,18";"2020-01-31"
"142";"0";"NOCE";"KG.";"0,003";"15,86";"2020-01-31"
"142";"0";"SEMT";"KG";"0,25";"0,73";"2020-01-31"
"142";"0";"FARTS";"KG";"0,185";"0,43";"2020-01-31"
"142";"0";"UOVOA";"KG";"0,132";"1,75";"2020-01-31"
"142";"0";"SALEV";"KG.";"0,003";"0,18";"2020-01-31"
"142";"0";"FILMSN";"KG.";"0,002";"5,16";"2020-01-31"
"142";"0";"FILMNN";"KG.";"0,054";"2,96";"2020-01-31"
"142";"0";"CART";"NR.";"0,25";"0,33";"2020-01-31"
"142";"0";"CARNEC";"KG.";"0,0705";"8,5";"2020-01-31"
"148";"0";"RISO";"KG.";"0,02";"1,77";"2020-01-31"
"148";"0";"POMS";"KG.";"0,065";"3,2";"2020-01-31"
"148";"0";"CARTV";"NR.";"0,25";"0,3";"2020-01-31"
"148";"0";"BURTA";"KG.";"0,065";"8,09";"2020-01-31"
"148";"0";"MOZZ";"KG.";"0,12";"4,45";"2020-01-31"
"148";"0";"RICP";"KG.";"0,204";"1,7";"2020-01-31"
"148";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"148";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"148";"0";"SALEV";"KG.";"0,003";"0,18";"2020-01-31"
"148";"0";"UOVOA";"KG";"0,1";"1,75";"2020-01-31"
"148";"0";"FARTS";"KG";"0,15";"0,43";"2020-01-31"
"148";"0";"SEMT";"KG";"0,2";"0,73";"2020-01-31"
"148";"0";"SALEV";"KG.";"0,005";"0,18";"2020-01-31"
"148";"0";"FIBRE";"KG.";"0,01";"4,7";"2020-01-31"
"148";"0";"BAS";"KG.";"0,011";"4,22";"2020-01-31"
"148";"0";"FILMNN";"KG.";"0,054";"2,96";"2020-01-31"
"148";"0";"FILMSN";"KG.";"0,002";"5,16";"2020-01-31"
"1501";"0";"ETPTI";"NR.";"1,0";"0,02";"2020-01-31"
"1501";"0";"FILMS";"KG.";"0,011";"5,76";"2020-01-31"
"1501";"0";"SALEV";"KG.";"0,005";"0,18";"2020-01-31"
"1501";"0";"FARTS";"KG";"0,143";"0,43";"2020-01-31"
"1501";"0";"SEMT";"KG";"0,238";"0,73";"2020-01-31"
"1501";"0";"CARTV";"NR.";"0,125";"0,3";"2020-01-31"
"1502";"0";"FIBRE";"KG.";"0,0023";"4,7";"2020-01-31"
"1502";"0";"OLIOE";"KG.";"0,0058";"6,0";"2020-01-31"
"1502";"0";"SALEV";"KG.";"0,001";"0,18";"2020-01-31"
"1502";"0";"UOVO";"KG.";"0,025";"1,55";"2020-01-31"
"1502";"0";"ETCTI";"NR.";"1,0";"0,02";"2020-01-31"
"1502";"0";"FILMNN";"KG.";"0,02";"2,96";"2020-01-31"
"1502";"0";"FILMSN";"KG.";"0,001";"5,16";"2020-01-31"
"1502";"0";"NOCE";"KG.";"0,001";"15,86";"2020-01-31"
"1502";"0";"SALEV";"KG.";"0,001";"0,18";"2020-01-31"
"1502";"0";"PROSD";"KG.";"0,009";"7,5";"2020-01-31"
"1502";"0";"PANE";"KG.";"0,023";"0,76";"2020-01-31"
"1502";"0";"PARM";"KG";"0,024";"11,8";"2020-01-31"
"1502";"0";"MORTG";"KG.";"0,028";"3,7";"2020-01-31"
"1502";"0";"PREZZ";"KG.";"0,0003";"2,47";"2020-01-31"
"1502";"0";"SALEV";"KG.";"0,0007";"0,18";"2020-01-31"
"1502";"0";"CIP";"KG.";"0,0011";"1,34";"2020-01-31"
"1502";"0";"CARNEC";"KG.";"0,284";"8,5";"2020-01-31"
"1502";"0";"CARTV";"NR.";"0,125";"0,3";"2020-01-31"
"1502";"0";"FARTS";"KG";"0,038";"0,43";"2020-01-31"
"1502";"0";"SEMT";"KG";"0,05";"0,73";"2020-01-31"
"160";"0";"CARTVAL";"NR.";"0,125";"0,3";"2020-01-31"
"160";"0";"BRIS";"KG";"0,008";"75,0";"2020-01-31"
"160";"0";"FILMSA";"KG.";"0,0012";"7,06";"2020-01-31"
"160";"0";"SEMT";"KG";"0,1";"0,73";"2020-01-31"
"160";"0";"FARTS";"KG";"0,075";"0,43";"2020-01-31"
"160";"0";"UOVOA";"KG";"0,05";"1,75";"2020-01-31"
"160";"0";"SALEV";"KG.";"0,001";"0,18";"2020-01-31"
"160";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"160";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"160A";"0";"ETTVF";"NR.";"1,0";"0,03";"2020-01-31"
"160A";"0";"ETTVR";"NR.";"1,0";"0,01";"2020-01-31"
"160A";"0";"SALEV";"KG.";"0,001";"0,18";"2020-01-31"
"160A";"0";"UOVOA";"KG";"0,05";"1,75";"2020-01-31"
"160A";"0";"FARTS";"KG";"0,075";"0,43";"2020-01-31"
